Subzone,PopMale,PopFemale,subzone,Population
Admiralty,6860,7060,ADMIRALTY,13920.00
Airport Road,-,-,AIRPORT ROAD,-
Alexandra Hill,6630,6860,ALEXANDRA HILL,13490.00
Alexandra North,1230,1400,ALEXANDRA NORTH,2630.00
Aljunied,19740,20250,ALJUNIED,39990.00
Anak Bukit,10370,11500,ANAK BUKIT,21870.00
Anchorvale,23700,24420,ANCHORVALE,48120.00
Ang Mo Kio Town Centre,2260,2550,ANG MO KIO TOWN CENTRE,4810.00
Anson,-,-,ANSON,-
Bahar,-,-,BAHAR,-
Balestier,15670,16760,BALESTIER,32430.00
Bangkit,11010,11260,BANGKIT,22270.00
Bayfront Subzone,-,-,BAYFRONT SUBZONE,-
Bayshore,3580,3870,BAYSHORE,7450.00
Bedok North,39700,42140,BEDOK NORTH,81840.00
Bedok Reservoir,12480,12990,BEDOK RESERVOIR,25470.00
Bedok South,22540,24160,BEDOK SOUTH,46700.00
Bencoolen,620,690,BENCOOLEN,1310.00
Bendemeer,18240,19330,BENDEMEER,37570.00
Benoi Sector,-,-,BENOI SECTOR,-
Bidadari,-,-,BIDADARI,-
Bishan East,13420,14880,BISHAN EAST,28300.00
Boat Quay,70,60,BOAT QUAY,130.00
Boon Keng,5630,6160,BOON KENG,11790.00
Boon Lay Place,15060,14270,BOON LAY PLACE,29330.00
Boon Teck,7210,7450,BOON TECK,14660.00
Boulevard,210,200,BOULEVARD,410.00
Braddell,4590,5210,BRADDELL,9800.00
Bras Basah,-,-,BRAS BASAH,-
Brickland,-,-,BRICKLAND,-
Brickworks,9800,10020,BRICKWORKS,19820.00
Bugis,440,450,BUGIS,890.00
Bukit Batok Central,13290,14000,BUKIT BATOK CENTRAL,27290.00
Bukit Batok East,6290,6410,BUKIT BATOK EAST,12700.00
Bukit Batok South,7360,7570,BUKIT BATOK SOUTH,14930.00
Bukit Batok West,7300,7700,BUKIT BATOK WEST,15000.00
Bukit Ho Swee,7050,7340,BUKIT HO SWEE,14390.00
Bukit Merah,550,570,BUKIT MERAH,1120.00
Cairnhill,1830,2060,CAIRNHILL,3890.00
Cecil,130,130,CECIL,260.00
Central Subzone,410,470,CENTRAL SUBZONE,880.00
Central Water Catchment,-,-,CENTRAL WATER CATCHMENT,-
Changi Airport,-,-,CHANGI AIRPORT,-
Changi Bay,-,-,CHANGI BAY,-
Changi Point,300,240,CHANGI POINT,540.00
Changi West,660,650,CHANGI WEST,1310.00
Chatsworth,3190,3690,CHATSWORTH,6880.00
Cheng San,13480,14600,CHENG SAN,28080.00
Chin Bee,-,-,CHIN BEE,-
China Square,670,760,CHINA SQUARE,1430.00
Chinatown,5040,5450,CHINATOWN,10490.00
Choa Chu Kang Central,11180,11340,CHOA CHU KANG CENTRAL,22520.00
Choa Chu Kang North,15860,16070,CHOA CHU KANG NORTH,31930.00
Chong Boon,12860,13640,CHONG BOON,26500.00
City Hall,-,-,CITY HALL,-
City Terminals,-,-,CITY TERMINALS,-
Clarke Quay,70,50,CLARKE QUAY,120.00
Cleantech,-,-,CLEANTECH,-
Clementi Central,6600,7400,CLEMENTI CENTRAL,14000.00
Clementi North,13400,15410,CLEMENTI NORTH,28810.00
Clementi West,7310,7950,CLEMENTI WEST,15260.00
Clementi Woods,7660,8340,CLEMENTI WOODS,16000.00
Clifford Pier,-,-,CLIFFORD PIER,-
Commonwealth,3230,3770,COMMONWEALTH,7000.00
Compassvale,10170,10790,COMPASSVALE,20960.00
Coney Island,-,-,CONEY ISLAND,-
Coronation Road,3050,3650,CORONATION ROAD,6700.00
Crawford,4630,3750,CRAWFORD,8380.00
Dairy Farm,3350,3590,DAIRY FARM,6940.00
Defu Industrial Park,-,-,DEFU INDUSTRIAL PARK,-
Depot Road,3090,3450,DEPOT ROAD,6540.00
Dhoby Ghaut,160,160,DHOBY GHAUT,320.00
Dover,5260,5820,DOVER,11080.00
Dunearn,1800,2150,DUNEARN,3950.00
East Coast,-,-,EAST COAST,-
Everton Park,3680,4120,EVERTON PARK,7800.00
Faber,2620,2740,FABER,5360.00
Fajar,13870,13950,FAJAR,27820.00
Farrer Court,2900,3280,FARRER COURT,6180.00
Farrer Park,1350,1310,FARRER PARK,2660.00
Fernvale,28860,29950,FERNVALE,58810.00
Flora Drive,7200,7470,FLORA DRIVE,14670.00
Forest Hill,-,-,FOREST HILL,-
Fort Canning,90,90,FORT CANNING,180.00
Frankel,16260,18230,FRANKEL,34490.00
Gali Batu,-,-,GALI BATU,-
Garden,-,-,GARDEN,-
Geylang Bahru,5620,5660,GEYLANG BAHRU,11280.00
Geylang East,14540,15380,GEYLANG EAST,29920.00
Ghim Moh,6470,7380,GHIM MOH,13850.00
Gombak,4840,5090,GOMBAK,9930.00
Goodwood Park,600,660,GOODWOOD PARK,1260.00
Greenwood Park,-,-,GREENWOOD PARK,-
Guilin,6290,6650,GUILIN,12940.00
Gul Basin,-,-,GUL BASIN,-
Gul Circle,-,-,GUL CIRCLE,-
Henderson Hill,6490,6830,HENDERSON HILL,13320.00
Hillcrest,4170,5300,HILLCREST,9470.00
Hillview,9290,10000,HILLVIEW,19290.00
Holland Drive,5760,6920,HOLLAND DRIVE,12680.00
Holland Road,4800,6040,HOLLAND ROAD,10840.00
Hong Kah,26650,27230,HONG KAH,53880.00
Hong Kah North,13030,13120,HONG KAH NORTH,26150.00
Hougang Central,2350,2370,HOUGANG CENTRAL,4720.00
Hougang East,12110,12810,HOUGANG EAST,24920.00
Hougang West,22410,23050,HOUGANG WEST,45460.00
Institution Hill,1500,1650,INSTITUTION HILL,3150.00
International Business Park,-,-,INTERNATIONAL BUSINESS PARK,-
Istana Negara,-,-,ISTANA NEGARA,-
Jelebu,15370,15940,JELEBU,31310.00
Joo Koon,-,-,JOO KOON,-
Joo Seng,4030,4120,JOO SENG,8150.00
Jurong Gateway,210,240,JURONG GATEWAY,450.00
Jurong Island And Bukom,-,-,JURONG ISLAND AND BUKOM,-
Jurong Port,-,-,JURONG PORT,-
Jurong River,-,-,JURONG RIVER,-
Jurong West Central,31810,31950,JURONG WEST CENTRAL,63760.00
Kaki Bukit,18210,18940,KAKI BUKIT,37150.00
Kallang Bahru,-,-,KALLANG BAHRU,-
Kallang Way,-,-,KALLANG WAY,-
Kampong Bugis,460,460,KAMPONG BUGIS,920.00
Kampong Glam,80,40,KAMPONG GLAM,120.00
Kampong Java,5140,5390,KAMPONG JAVA,10530.00
Kampong Tiong Bahru,4440,4560,KAMPONG TIONG BAHRU,9000.00
Kampong Ubi,5890,5910,KAMPONG UBI,11800.00
Kangkar,15740,16540,KANGKAR,32280.00
Katong,4440,4910,KATONG,9350.00
Keat Hong,19010,19170,KEAT HONG,38180.00
Kebun Bahru,10660,11970,KEBUN BAHRU,22630.00
Kembangan,18460,19010,KEMBANGAN,37470.00
Kent Ridge,-,-,KENT RIDGE,-
Khatib,4980,5270,KHATIB,10250.00
Kian Teck,-,-,KIAN TECK,-
Kim Keat,3840,4130,KIM KEAT,7970.00
Kovan,11960,12840,KOVAN,24800.00
Kranji,-,-,KRANJI,-
Lakeside (Business),-,-,LAKESIDE (BUSINESS),-
Lakeside (Leisure),570,500,LAKESIDE (LEISURE),1070.00
Lavender,5070,4610,LAVENDER,9680.00
Leedon Park,2960,3480,LEEDON PARK,6440.00
Leonie Hill,1430,1690,LEONIE HILL,3120.00
Lim Chu Kang,60,50,LIM CHU KANG,110.00
Little India,1680,1580,LITTLE INDIA,3260.00
Liu Fang,-,-,LIU FANG,-
Lorong 8 Toa Payoh,3420,3730,LORONG 8 TOA PAYOH,7150.00
Lorong Ah Soo,15270,17050,LORONG AH SOO,32320.00
Lorong Chuan,4090,4400,LORONG CHUAN,8490.00
Lorong Halus,-,-,LORONG HALUS,-
Lorong Halus North,-,-,LORONG HALUS NORTH,-
Lower Seletar,9240,9420,LOWER SELETAR,18660.00
Loyang East,1060,1080,LOYANG EAST,2140.00
Loyang West,100,120,LOYANG WEST,220.00
Mackenzie,60,50,MACKENZIE,110.00
Macpherson,14070,14300,MACPHERSON,28370.00
Malcolm,1380,1570,MALCOLM,2950.00
Mandai East,-,-,MANDAI EAST,-
Mandai Estate,990,1100,MANDAI ESTATE,2090.00
Mandai West,-,-,MANDAI WEST,-
Margaret Drive,7710,8380,MARGARET DRIVE,16090.00
Marina Centre,-,-,MARINA CENTRE,-
Marina East,-,-,MARINA EAST,-
Marina East (Mp),-,-,MARINA EAST (MP),-
Marina South,-,-,MARINA SOUTH,-
Marine Parade,12530,14350,MARINE PARADE,26880.00
Maritime Square,1770,1850,MARITIME SQUARE,3620.00
Marymount,14680,14940,MARYMOUNT,29620.00
Matilda,25610,26590,MATILDA,52200.00
Maxwell,-,-,MAXWELL,-
Mei Chin,7350,8210,MEI CHIN,15560.00
Midview,17660,17610,MIDVIEW,35270.00
Monk's Hill,520,510,MONK'S HILL,1030.00
Moulmein,4720,4580,MOULMEIN,9300.00
Mount Emily,770,860,MOUNT EMILY,1630.00
Mount Pleasant,350,340,MOUNT PLEASANT,690.00
Mountbatten,4720,5260,MOUNTBATTEN,9980.00
Murai,290,350,MURAI,640.00
Nassim,4410,5110,NASSIM,9520.00
National University Of S'pore,70,170,NATIONAL UNIVERSITY OF S'PORE,240.00
Nature Reserve,1810,2040,NATURE RESERVE,3850.00
Nee Soon,440,450,NEE SOON,890.00
Newton Circus,140,110,NEWTON CIRCUS,250.00
Nicoll,150,140,NICOLL,290.00
North Coast,6130,5970,NORTH COAST,12100.00
North0Eastern Islands,-,-,NORTH0EASTERN ISLANDS,-
Northland,13930,14070,NORTHLAND,28000.00
Northshore,230,220,NORTHSHORE,450.00
One North,350,370,ONE NORTH,720.00
One Tree Hill,910,1150,ONE TREE HILL,2060.00
Orange Grove,840,950,ORANGE GROVE,1790.00
Oxley,670,820,OXLEY,1490.00
Pandan,-,-,PANDAN,-
Pang Sua,-,-,PANG SUA,-
Park,-,-,PARK,-
Pasir Panjang 1,2200,2300,PASIR PANJANG 1,4500.00
Pasir Panjang 2,1490,1570,PASIR PANJANG 2,3060.00
Pasir Ris Central,15750,16490,PASIR RIS CENTRAL,32240.00
Pasir Ris Drive,26940,27480,PASIR RIS DRIVE,54420.00
Pasir Ris Park,3760,3860,PASIR RIS PARK,7620.00
Pasir Ris Wafer Fab Park,-,-,PASIR RIS WAFER FAB PARK,-
Pasir Ris West,17720,18070,PASIR RIS WEST,35790.00
Paterson,110,130,PATERSON,240.00
Paya Lebar East,-,-,PAYA LEBAR EAST,-
Paya Lebar North,-,-,PAYA LEBAR NORTH,-
Paya Lebar West,-,-,PAYA LEBAR WEST,-
Pearl's Hill,3370,2750,PEARL'S HILL,6120.00
Pei Chun,4940,5420,PEI CHUN,10360.00
Peng Siang,17340,17390,PENG SIANG,34730.00
Penjuru Crescent,-,-,PENJURU CRESCENT,-
People's Park,140,160,PEOPLE'S PARK,300.00
Phillip,-,-,PHILLIP,-
Pioneer Sector,-,-,PIONEER SECTOR,-
Plab,-,-,PLAB,-
Plantation,-,-,PLANTATION,-
Port,60,60,PORT,120.00
Potong Pasir,5660,6060,POTONG PASIR,11720.00
Pulau Punggol Barat,-,-,PULAU PUNGGOL BARAT,-
Pulau Punggol Timor,-,-,PULAU PUNGGOL TIMOR,-
Pulau Seletar,-,-,PULAU SELETAR,-
Punggol Canal,-,-,PUNGGOL CANAL,-
Punggol Field,24120,24840,PUNGGOL FIELD,48960.00
Punggol Town Centre,10920,11340,PUNGGOL TOWN CENTRE,22260.00
Queensway,130,140,QUEENSWAY,270.00
Raffles Place,-,-,RAFFLES PLACE,-
Redhill,5150,5470,REDHILL,10620.00
Reservoir View,-,-,RESERVOIR VIEW,-
Ridout,690,830,RIDOUT,1520.00
Rivervale,29460,30230,RIVERVALE,59690.00
Robertson Quay,1390,1610,ROBERTSON QUAY,3000.00
Rochor Canal,-,-,ROCHOR CANAL,-
Safti,-,-,SAFTI,-
Samulun,-,-,SAMULUN,-
Saujana,12830,13090,SAUJANA,25920.00
Selegie,110,100,SELEGIE,210.00
Seletar,130,150,SELETAR,280.00
Seletar Aerospace Park,-,-,SELETAR AEROSPACE PARK,-
Seletar Hills,7250,7460,SELETAR HILLS,14710.00
Semakau,-,-,SEMAKAU,-
Sembawang Central,17060,17740,SEMBAWANG CENTRAL,34800.00
Sembawang East,8550,8790,SEMBAWANG EAST,17340.00
Sembawang Hills,3210,3650,SEMBAWANG HILLS,6860.00
Sembawang North,12750,12790,SEMBAWANG NORTH,25540.00
Sembawang Springs,4480,4610,SEMBAWANG SPRINGS,9090.00
Sembawang Straits,980,930,SEMBAWANG STRAITS,1910.00
Sengkang Town Centre,30290,31500,SENGKANG TOWN CENTRE,61790.00
Sengkang West,-,-,SENGKANG WEST,-
Senja,9920,10260,SENJA,20180.00
Sennett,3480,3720,SENNETT,7200.00
Senoko North,-,-,SENOKO NORTH,-
Senoko South,-,-,SENOKO SOUTH,-
Senoko West,-,-,SENOKO WEST,-
Sentosa,920,1020,SENTOSA,1940.00
Serangoon Central,11800,12960,SERANGOON CENTRAL,24760.00
Serangoon Garden,17220,18860,SERANGOON GARDEN,36080.00
Serangoon North,7840,8100,SERANGOON NORTH,15940.00
Serangoon North Ind Estate,-,-,SERANGOON NORTH IND ESTATE,-
Shangri0La,7780,8180,SHANGRI0LA,15960.00
Shipyard,-,-,SHIPYARD,-
Siglap,2980,3460,SIGLAP,6440.00
Simei,19050,20400,SIMEI,39450.00
Simpang North,-,-,SIMPANG NORTH,-
Simpang South,-,-,SIMPANG SOUTH,-
Singapore General Hospital,-,-,SINGAPORE GENERAL HOSPITAL,-
Singapore Polytechnic,-,-,SINGAPORE POLYTECHNIC,-
Somerset,60,80,SOMERSET,140.00
Southern Group,-,-,SOUTHERN GROUP,-
Springleaf,2180,2190,SPRINGLEAF,4370.00
Straits View,-,-,STRAITS VIEW,-
Sudong,-,-,SUDONG,-
Sungei Road,1020,1030,SUNGEI ROAD,2050.00
Sunset Way,2640,3010,SUNSET WAY,5650.00
Swiss Club,2470,2880,SWISS CLUB,5350.00
Tagore,3790,4160,TAGORE,7950.00
Tai Seng,6670,7160,TAI SENG,13830.00
Taman Jurong,19920,20000,TAMAN JURONG,39920.00
Tampines East,63960,67010,TAMPINES EAST,130970.00
Tampines North,3950,4090,TAMPINES NORTH,8040.00
Tampines West,39150,40510,TAMPINES WEST,79660.00
Tanglin,170,210,TANGLIN,380.00
Tanglin Halt,4960,5630,TANGLIN HALT,10590.00
Tanjong Irau,-,-,TANJONG IRAU,-
Tanjong Pagar,350,320,TANJONG PAGAR,670.00
Tanjong Rhu,5230,5880,TANJONG RHU,11110.00
Teban Gardens,9250,9280,TEBAN GARDENS,18530.00
Teck Whye,12190,12140,TECK WHYE,24330.00
Telok Blangah Drive,9170,10140,TELOK BLANGAH DRIVE,19310.00
Telok Blangah Rise,5740,6420,TELOK BLANGAH RISE,12160.00
Telok Blangah Way,4610,4620,TELOK BLANGAH WAY,9230.00
Tengah Industrial Estate,-,-,TENGAH INDUSTRIAL ESTATE,-
Tengeh,-,-,TENGEH,-
The Wharves,-,-,THE WHARVES,-
Tiong Bahru,5990,6900,TIONG BAHRU,12890.00
Tiong Bahru Station,7140,7980,TIONG BAHRU STATION,15120.00
Toa Payoh Central,12960,15070,TOA PAYOH CENTRAL,28030.00
Toa Payoh West,6570,7780,TOA PAYOH WEST,14350.00
Toh Guan,7230,7360,TOH GUAN,14590.00
Toh Tuck,-,-,TOH TUCK,-
Townsville,9930,11210,TOWNSVILLE,21140.00
Trafalgar,24950,24240,TRAFALGAR,49190.00
Tuas Bay,-,-,TUAS BAY,-
Tuas North,-,-,TUAS NORTH,-
Tuas Promenade,-,-,TUAS PROMENADE,-
Tuas View,-,-,TUAS VIEW,-
Tuas View Extension,-,-,TUAS VIEW EXTENSION,-
Tukang,-,-,TUKANG,-
Turf Club,330,340,TURF CLUB,670.00
Tyersall,1810,2070,TYERSALL,3880.00
Ulu Pandan,5280,5740,ULU PANDAN,11020.00
Upper Paya Lebar,8160,8760,UPPER PAYA LEBAR,16920.00
Upper Thomson,14160,15230,UPPER THOMSON,29390.00
Victoria,840,920,VICTORIA,1760.00
Waterway East,25050,25530,WATERWAY EAST,50580.00
Wenya,4170,4110,WENYA,8280.00
West Coast,3370,3500,WEST COAST,6870.00
Woodgrove,16870,16920,WOODGROVE,33790.00
Woodlands East,49490,49500,WOODLANDS EAST,98990.00
Woodlands Regional Centre,-,-,WOODLANDS REGIONAL CENTRE,-
Woodlands South,20540,20470,WOODLANDS SOUTH,41010.00
Woodlands West,17260,16650,WOODLANDS WEST,33910.00
Woodleigh,1200,1260,WOODLEIGH,2460.00
Xilin,890,880,XILIN,1770.00
Yew Tee,20100,20280,YEW TEE,40380.00
Yio Chu Kang,-,-,YIO CHU KANG,-
Yio Chu Kang East,2090,2120,YIO CHU KANG EAST,4210.00
Yio Chu Kang North,-,-,YIO CHU KANG NORTH,-
Yio Chu Kang West,11520,12630,YIO CHU KANG WEST,24150.00
Yishun Central,1290,1340,YISHUN CENTRAL,2630.00
Yishun East,30030,30640,YISHUN EAST,60670.00
Yishun South,20670,21580,YISHUN SOUTH,42250.00
Yishun West,26720,27190,YISHUN WEST,53910.00
Yuhua East,12120,12650,YUHUA EAST,24770.00
Yuhua West,9530,9630,YUHUA WEST,19160.00
Yunnan,34250,33250,YUNNAN,67500.00
